Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,10.0,8,2.0,75.25,BM,
rand2,10.0,16,2.0,53.83,BM,
rand2,10.0,32,2.0,41.79,BM,
rand2,10.0,64,2.0,33.67,BM,
rand2,10.0,128,2.0,29.59,BM,
rand2,10.0,256,2.0,22.96,BM,
rand2,10.0,512,2.0,20.47,BM,
rand2,10.0,1024,2.0,16.01,BM,
rand2,10.0,2,2.0,126.64,BMH-SBNDM,
rand2,10.0,4,2.0,115.42,BMH-SBNDM,
rand2,10.0,8,2.0,73.05,BMH-SBNDM,
rand2,10.0,16,2.0,39.25,BMH-SBNDM,
rand2,10.0,32,2.0,22.41,BMH-SBNDM,
rand2,10.0,64,2.0,22.92,BMH-SBNDM,
rand2,10.0,128,2.0,21.70,BMH-SBNDM,
rand2,10.0,256,2.0,21.40,BMH-SBNDM,
rand2,10.0,512,2.0,20.15,BMH-SBNDM,
rand2,10.0,1024,2.0,22.31,BMH-SBNDM,
rand2,10.0,2,2.0,116.28,BNDM,
rand2,10.0,4,2.0,99.94,BNDM,
rand2,10.0,8,2.0,60.08,BNDM,
rand2,10.0,16,2.0,30.99,BNDM,
rand2,10.0,32,2.0,15.85,BNDM,
rand2,10.0,64,2.0,18.47,BNDM,
rand2,10.0,128,2.0,15.99,BNDM,
rand2,10.0,256,2.0,16.92,BNDM,
rand2,10.0,512,2.0,17.76,BNDM,
rand2,10.0,1024,2.0,19.08,BNDM,
rand2,10.0,2,2.0,71.60,EBOM,
rand2,10.0,4,2.0,77.92,EBOM,
rand2,10.0,8,2.0,55.00,EBOM,
rand2,10.0,16,2.0,37.24,EBOM,
rand2,10.0,32,2.0,20.64,EBOM,
rand2,10.0,64,2.0,13.45,EBOM,
rand2,10.0,128,2.0,8.60,EBOM,EBOM
rand2,10.0,256,2.0,7.77,EBOM,EBOM
rand2,10.0,512,2.0,7.92,EBOM,EBOM
rand2,10.0,1024,2.0,6.37,EBOM,EBOM
rand2,10.0,2,2.0,0.00,FAOSO4,
rand2,10.0,4,2.0,0.00,FAOSO4,
rand2,10.0,8,2.0,139.01,FAOSO4,
rand2,10.0,16,2.0,55.07,FAOSO4,
rand2,10.0,32,2.0,19.93,FAOSO4,
rand2,10.0,64,2.0,15.58,FAOSO4,
rand2,10.0,128,2.0,14.84,FAOSO4,
rand2,10.0,256,2.0,14.30,FAOSO4,
rand2,10.0,512,2.0,15.22,FAOSO4,
rand2,10.0,1024,2.0,15.95,FAOSO4,
rand2,10.0,2,2.0,103.26,FJS,
rand2,10.0,4,2.0,101.12,FJS,
rand2,10.0,8,2.0,117.93,FJS,
rand2,10.0,16,2.0,117.96,FJS,
rand2,10.0,32,2.0,121.11,FJS,
rand2,10.0,64,2.0,123.47,FJS,
rand2,10.0,128,2.0,130.88,FJS,
rand2,10.0,256,2.0,118.20,FJS,
rand2,10.0,512,2.0,125.93,FJS,
rand2,10.0,1024,2.0,121.25,FJS,
rand2,10.0,2,2.0,119.26,FS,
rand2,10.0,4,2.0,93.73,FS,
rand2,10.0,8,2.0,67.85,FS,
rand2,10.0,16,2.0,48.02,FS,
rand2,10.0,32,2.0,38.92,FS,
rand2,10.0,64,2.0,29.79,FS,
rand2,10.0,128,2.0,26.16,FS,
