Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,4.0,16,2,40.88,HOR,
rand2,4.0,32,2,41.84,HOR,
rand2,4.0,64,2,46.35,HOR,
rand2,4.0,128,2,44.17,HOR,
rand2,4.0,256,2,43.32,HOR,
rand2,4.0,8,2,7.43,KR,
rand2,4.0,16,2,5.1,KR,
rand2,4.0,32,2,6.81,KR,
rand2,4.0,64,2,6.69,KR,
rand2,4.0,128,2,7.92,KR,
rand2,4.0,256,2,6.24,KR,
rand2,4.0,8,2,23.07,LBNDM,
rand2,4.0,16,2,10.91,LBNDM,
rand2,4.0,32,2,6.42,LBNDM,
rand2,4.0,64,2,6.42,LBNDM,
rand2,4.0,128,2,36.08,LBNDM,
rand2,4.0,256,2,77.41,LBNDM,
rand2,4.0,8,2,35.87,RAITA,
rand2,4.0,16,2,36.5,RAITA,
rand2,4.0,32,2,36.86,RAITA,
rand2,4.0,64,2,40.62,RAITA,
rand2,4.0,128,2,39.96,RAITA,
rand2,4.0,256,2,39.83,RAITA,
rand2,4.0,8,2,5.01,SO,SO
rand2,4.0,16,2,4.94,SO,SO
rand2,4.0,32,2,3.94,SO,
rand2,4.0,64,2,6.64,SO,
rand2,4.0,128,2,5.49,SO,
rand2,4.0,256,2,5.02,SO,
rand2,4.0,8,2,34.34,TW,
rand2,4.0,16,2,30.42,TW,
rand2,4.0,32,2,31.93,TW,
rand2,4.0,64,2,32.9,TW,
rand2,4.0,128,2,33.43,TW,
rand2,4.0,256,2,33.94,TW,
rand4,1.0,8,4,0.71,AOSO2,AOSO2
rand4,1.0,16,4,1.59,AOSO2,
rand4,1.0,32,4,0.56,AOSO2,
rand4,1.0,64,4,1.04,AOSO2,
rand4,1.0,128,4,1.07,AOSO2,
rand4,1.0,256,4,0.69,AOSO2,
rand4,1.0,8,4,3.62,BM,
rand4,1.0,16,4,3.33,BM,
rand4,1.0,32,4,2.56,BM,
rand4,1.0,64,4,1.35,BM,
rand4,1.0,128,4,1.65,BM,
rand4,1.0,256,4,1.1,BM,
rand4,1.0,8,4,2.22,BMH-SBNDM,
rand4,1.0,16,4,1.66,BMH-SBNDM,
rand4,1.0,32,4,0.78,BMH-SBNDM,
rand4,1.0,64,4,0.86,BMH-SBNDM,
rand4,1.0,128,4,1.25,BMH-SBNDM,
rand4,1.0,256,4,0.76,BMH-SBNDM,
rand4,1.0,8,4,1.84,BNDM,
rand4,1.0,16,4,0.83,BNDM,
rand4,1.0,32,4,0.47,BNDM,
rand4,1.0,64,4,0.49,BNDM,
rand4,1.0,128,4,0.95,BNDM,
rand4,1.0,256,4,0.48,BNDM,
rand4,1.0,8,4,3.26,FAOSO4,
rand4,1.0,16,4,0.55,FAOSO4,FAOSO4
rand4,1.0,32,4,0.38,FAOSO4,FAOSO4
rand4,1.0,64,4,0.37,FAOSO4,FAOSO4
rand4,1.0,128,4,0.35,FAOSO4,FAOSO4
rand4,1.0,256,4,0.43,FAOSO4,FAOSO4
rand4,1.0,8,4,2.38,FS,
rand4,1.0,16,4,2.25,FS,
rand4,1.0,32,4,2.74,FS,
rand4,1.0,64,4,1.67,FS,
rand4,1.0,128,4,0.95,FS,
rand4,1.0,256,4,0.9,FS,
rand4,1.0,8,4,1.12,FSBNDM,
rand4,1.0,16,4,0.71,FSBNDM,
rand4,1.0,32,4,0.43,FSBNDM,
rand4,1.0,64,4,0.49,FSBNDM,
rand4,1.0,128,4,0.43,FSBNDM,
rand4,1.0,256,4,0.43,FSBNDM,FSBNDM
rand4,1.0,8,4,3.84,HOR,
rand4,1.0,16,4,3.93,HOR,
rand4,1.0,32,4,3.08,HOR,
rand4,1.0,64,4,3.89,HOR,
rand4,1.0,128,4,3.0,HOR,
rand4,1.0,256,4,2.48,HOR,
rand4,1.0,8,4,1.92,KR,
rand4,1.0,16,4,1.95,KR,
rand4,1.0,32,4,0.93,KR,
rand4,1.0,64,4,1.59,KR,
rand4,1.0,128,4,1.42,KR,
rand4,1.0,256,4,2.59,KR,
rand4,1.0,8,4,2.47,LBNDM,
rand4,1.0,16,4,1.38,LBNDM,
rand4,1.0,32,4,1.03,LBNDM,
rand4,1.0,64,4,0.53,LBNDM,
rand4,1.0,128,4,0.44,LBNDM,
rand4,1.0,256,4,2.24,LBNDM,
rand4,1.0,8,4,2.91,RAITA,
rand4,1.0,16,4,2.12,RAITA,
rand4,1.0,32,4,2.72,RAITA,
rand4,1.0,64,4,3.04,RAITA,
rand4,1.0,128,4,2.72,RAITA,
rand4,1.0,256,4,2.79,RAITA,
rand4,1.0,8,4,0.79,SO,
rand4,1.0,16,4,1.43,SO,
rand4,1.0,32,4,1.71,SO,
rand4,1.0,64,4,1.29,SO,
rand4,1.0,128,4,1.66,SO,
rand4,1.0,256,4,0.78,SO,
rand4,1.0,8,4,4.93,TW,
rand4,1.0,16,4,5.49,TW,
rand4,1.0,32,4,4.81,TW,
rand4,1.0,64,4,6.58,TW,
rand4,1.0,128,4,6.04,TW,
rand4,1.0,256,4,5.72,TW,
rand4,2.0,8,4,2.52,AOSO2,
rand4,2.0,16,4,2.15,AOSO2,
rand4,2.0,32,4,2.58,AOSO2,
rand4,2.0,64,4,1.84,AOSO2,
rand4,2.0,128,4,2.79,AOSO2,
rand4,2.0,256,4,1.72,AOSO2,
rand4,2.0,8,4,7.83,BM,
